####Data from Scott height frequency intercept plots established by Cath Dickenson and Alan Mark in 1989. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"### Tier1 = 0-5 cm high, Tier2 = 5-10, Tier3 = 10-15, Tier4 = 15-20, Tier5 = 20-25, Tier6 = 25-30, Tier7 = 30-35, Tier8 = 35-40 , Tier9 = 40-45, Tier10 = 45-50, Tier11 = 50-55, Tier12 =  55-60, Tier13 = 60-65, Tier14 = 65-70, Tier15 = 70-75, Tier16 = 75-80, Tier17 = 80-85, Tier18 = 85-90, Tier19 = 90-95, Tier20 = 95-100. Final tier (not really a tier) is Greater100, which encompasess the few very high intercepts",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
###No plant intercepts greater than 135cm high were observed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YEAR,Plot,Spp,Species,Tier1,Tier2,Tier3,Tier4,Tier5,Tier6,Tier7,Tier8,Tier9,Tier10,Tier11,Tier12,Tier13,Tier14,Tier15,Tier16,Tier17,Tier18,Tier19,Tier20,Greater100,Greater105,Greater110,Greater115,Greater120,Greater125,Greater130
1989,M14,Festuca matt,Fesmat,13,15,11,10,7,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989,M14,Gaulltheria,Gaudep,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989,M14,Gentianella,Gencor,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989,M14,Halocarpus b,Halbid,4,5,6,8,8,6,6,4,2,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989,M14,Hebe pimeleo,Hebpim,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989,M14,Hieracium pi,Hiepil,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989,M14,Hypochoeris,Hyprad,15,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989,M14,Leucopogon f,Leufra,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989,M14,Luzula rufa,Luzruf,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989,M14,Lycopodium f,Lycfas,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989,M14,Poa colensoi,Poacol,11,6,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989,M14,Prasophyllum,Pracol,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989,M14,Pterostylis,Pteaus,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989,M14,Raoulia park,Raopar,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989,M14,Raoulia subs,Raosub,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989,M14,Rumex acetos,Rumace,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989,M14,Rytidosperma,Rytpum,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989,M14,Rytidosperma,Rytset,6,5,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989,M14,Uncinia sp.,Uncspp,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989,M14,Viola cunnin,Viocun,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989,M14,Wahlenbergia,Wahalb,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989,M2,Agrostis cap,Agrcap,14,9,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989,M2,Anisotome ar,Aniaro,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989,M2,Brachyglotti,Brabel,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989,M2,Coprosma pet,Coppet,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989,M2,Craspedia un,Crauni,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989,M2,Elymus solan,Elysol,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989,M2,Epilobium at,Epiatr,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989,M2,Festuca matt,Fesmat,7,6,5,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
