###Quadrat plot data (nested sizes) froma paired fenced and unfenced plots on Molesworth. Plots established in early 2008 by NZ Forest Surveys,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transect,Plot No.,Species,Subplot1.Tier1,Subplot1.Tier2,Subplot1.Tier3,Subplot1.Tier4,Subplot1.Tier5,Subplot1.Tier6,Subplot2.Tier1,Subplot2.Tier2,Subplot2.Tier3,Subplot2.Tier4,Subplot2.Tier5,Subplot2.Tier6,Subplot3.Tier1,Subplot3.Tier2,Subplot3.Tier3,Subplot3.Tier4,Subplot3.Tier5,Subplot3.Tier6,Subplot4.Tier1,Subplot4.Tier2,Subplot4.Tier3,Subplot4.Tier4,Subplot4.Tier5,Subplot4.Tier6,Subplot5.Tier1,Subplot5.Tier2,Subplot5.Tier3,Subplot5.Tier4,Subplot5.Tier5,Subplot5.Tier6,Subplot6.Tier1,Subplot6.Tier2,Subplot6.Tier3,Subplot6.Tier4,Subplot6.Tier5,Subplot6.Tier6,BrowserSpecies,BrowserIntensity,Browser2Species,Browser2Intensity
PT,2 fenced,GERSES,,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,,,,
PT,2 fenced,UNCFUS,,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,,,,
PT,2 fenced,HYPRAD,,,,,,,,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,,,,
PT,2 fenced,HOLLAN,,,,,,,,,,,,,1,1,,,,,1,1,,,,,1,,,,,,1,,,,,,,,,
PT,2 fenced,GRASS,,,,,,,,,,,,,1,,,,,,1,1,,,,,3,1,,,,,1,1,,,,,,,,
PT,2 fenced,FESNOV,,,,,,,,,,,,,,,,,,,2,2,1,,,,2,2,1,,,,2,2,1,,,,,,,
PT,2 fenced,TRIPRA,,,,,,,,,,,,,,,,,,,1,1,,,,,1,1,,,,,1,1,,,,,,,,
PT,2 fenced,RAOSUB,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,1,,,,,,,,,
PT,2 fenced,AGRCAP,,,,,,,,,,,,,,,,,,,,,,,,,3,1,,,,,4,1,,,,,,,,
PT,2 fenced,POACIT,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,1,1,,,,,,,,
PT,2 fenced,WAHALB,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,
PT,2 fenced,PIMSER,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,1,1,,,,,,,,
PT,2 fenced,RYTPUM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,
PT,2 fenced,DACGLO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,1,,,,,,,
PT,2 fenced,POAPRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,
PT,2 fenced,VERTHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,
PT,3 unfenced,VEGETATION,2,,,,,,3,,,,,,3,,,,,,3,,,,,,3,,,,,,5,,,,,,,,,
PT,3 unfenced,MOSS,0,,,,,,0,,,,,,0,,,,,,1,,,,,,1,,,,,,1,,,,,,,,,
PT,3 unfenced,LITTER,3,,,,,,3,,,,,,3,,,,,,4,,,,,,3,,,,,,2,,,,,,,,,
PT,3 unfenced,BARE GROUND,5,,,,,,5,,,,,,5,,,,,,5,,,,,,5,,,,,,5,,,,,,,,,
PT,3 unfenced,ROCK,0,,,,,,0,,,,,,1,,,,,,1,,,,,,2,,,,,,1,,,,,,,,,
PT,3 unfenced,HIEPIL,1,,,,,,3,,,,,,2,,,,,,2,,,,,,3,,,,,,4,,,,,,,,,
PT,3 unfenced,ANTODO,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,,,,
PT,3 unfenced,DEYAVE,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,,,,
PT,3 unfenced,VERVIR,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,,,,
PT,3 unfenced,ROSRUB,,,,,,,1,1,1,,,,1,2,2,,,,1,2,2,,,,1,1,1,,,,1,1,1,,,,,,,
PT,3 unfenced,POACOL,,,,,,,1,,,,,,2,,,,,,2,,,,,,2,,,,,,2,,,,,,,,,
PT,3 unfenced,VERVER,,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,,,,
PT,3 unfenced,VERTHA,,,,,,,,,,,,,1,1,,,,,1,1,,,,,1,1,,,,,1,,,,,,,,,
PT,3 unfenced,LINCAT,,,,,,,,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,,,,
PT,3 unfenced,CRECAP,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,1,,,,,,,,,
PT,3 unfenced,ECHVUL,,,,,,,,,,,,,,,,,,,1,1,,,,,1,,,,,,1,,,,,,,,,
PT,3 unfenced,LEUFRA,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,1,,,,,,,,,
PT,3 unfenced,ELYAFR,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,1,,,,,,,,,
PT,3 unfenced,RUMACE,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,1,,,,,,,,,
PT,3 unfenced,POAPRA,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,
PT,3 unfenced,VITAUS,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,
PT,3 unfenced,FESNOV,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,2,1,,,,,,,,
PT,3 unfenced,TRIARV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
PT,3 unfenced,GERSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
PT,3 unfenced,ACRCOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
PT,3 unfenced,HYPRAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
PT,3 unfenced,PIMSER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
PT,3 unfenced,TRIREP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
PT,3 unfenced,POACIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
PT,3 unfenced,HYPPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
PT,3 unfenced,SCLUNI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
PT,3 unfenced,CRALAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
PT,3 fenced,VEGETATION,6,,,,,,6,,,,,,6,,,,,,6,,,,,,6,,,,,,,,,,,,,,,
PT,3 fenced,MOSS,0,,,,,,0,,,,,,0,,,,,,1,,,,,,1,,,,,,1,,,,,,,,,
PT,3 fenced,LITTER,3,,,,,,3,,,,,,3,,,,,,3,,,,,,3,,,,,,,,,,,,,,,
PT,3 fenced,BARE GROUND,0,,,,,,0,,,,,,1,,,,,,1,,,,,,1,,,,,,,,,,,,,,,
PT,3 fenced,ROCK,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,,,,,,,,,,
PT,3 fenced,HIEPIL,5,,,,,,5,,,,,,4,,,,,,4,,,,,,4,,,,,,5,,,,,,,,,
PT,3 fenced,ANTODO,1,,,,,,1,,,,,,1,1,,,,,1,1,,,,,1,1,,,,,1,1,,,,,,,,
PT,3 fenced,FESNOV,,1,,,,,3,3,1,,,,3,3,1,,,,3,3,1,,,,3,3,1,,,,3,3,1,,,,,,,
PT,3 fenced,ROSRUB,,,,,,,1,1,,,,,1,1,,,,,1,1,,,,,1,1,1,,,,1,1,,,,,,,,
PT,3 fenced,POACOL,,,,,,,2,,,,,,2,,,,,,2,1,,,,,2,1,,,,,1,1,,,,,hare,L,,
PT,3 fenced,HIEPRA,,,,,,,,,,,,,1,,,,,,1,,,,,,2,,,,,,3,,,,,,,,,
PT,3 fenced,ELYAFR,,,,,,,,,,,,,1,1,,,,,2,1,,,,,1,1,,,,,1,1,,,,,,,,
PT,3 fenced,AGRCAP,,,,,,,,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,,,,
PT,3 fenced,DEYAVE,,,,,,,,,,,,,2,2,,,,,1,1,,,,,1,1,,,,,1,1,,,,,,,,
PT,3 fenced,KOENOV,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,1,,,,,,,,,
PT,3 fenced,HYPRAD,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,1,,,,,,,,,
PT,3 fenced,RUMACE,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,1,,,,,,,,,
