#####SitedataenteredbyLizzie 2016,,,,,,,,,,,,,,,,,,,,
##GPS references in NZTM 2000,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Line,Plot,Area,Date,People,Substrate,Cultural,East,North,Altitude,Aspect,Slope,Shape,Physiography,Time,Drainage,Species,Animal,Score,Pellets,Comments
I,3,Cameron Stream,11/02/16,"Sean, Emi, Betka",Colluvial,Grazed,1604956,5325629,1040,250,23,Linear,Face,2.5,Good,MELalp,hare,H,Yes,
I,4,Cameron Stream,11/02/16,"Sean, Emi, Betka",Colluvial,Grazed,1605027,5325809,1080,255,23,Linear,Face,,Good,AGRcap,cattle,L,Yes,"A, C and D pegs crushed"
I,4,,,,,,,,,,,,,,,FESnov,cattle,L,Yes,
I,4,,,,,,,,,,,,,,,FESnov,hare,L,Yes,
I,4,,,,,,,,,,,,,,,ANTodo,rabbit,M,Yes,
I,4,,,,,,,,,,,,,,,MELalp,hare,H,Yes,
J,1,Awatere,26/02/16,"Sean, Graeme, Betka",Colluvial,Grazed,1613510,5332545,1240,330,12,Concave,Gully,3,Good,MELalp,hare,H,Yes,All five pegs up rooted
J,1,,,,,,,,,,,,,,,POAcol,cattle,L,Yes,25 meters above 4WD track
J,1,,,,,,,,,,,,,,,RYTset,cattle,L,Yes,
J,1,,,,,,,,,,,,,,,FESnov,cattle,L,Yes,
J,1,,,,,,,,,,,,,,,MUEaxi,hare,L,Yes,
J,2,Awatere,26/02/16,"Sean, Graeme, Betka",Colluvial,Grazed,1613586,5332719,1220,10,11,Concave,Gully,2.5,Good,FESrub,cattle,L,Yes,Four pegs up rooted
J,2,,,,,,,,,,,,,,,POApra,cattle,L,Yes,20m below 4WD track
J,2,,,,,,,,,,,,,,,FESnov,cattle,L,Yes,
J,2,,,,,,,,,,,,,,,CARaus,hare,H,Yes,
J,2,,,,,,,,,,,,,,,MELalp,hare,H,Yes,
J,2,,,,,,,,,,,,,,,FESrub,deer,L,Yes,
J,3,Awatere,26/02/16,"Sean, Graeme, Betka",Colluvial,Grazed,1613647,5332904,1190,140,19,,,2.5,Good,CHIfla,hare,H,Yes,� A � peg up rooted
J,3,,,,,,,,,,,,,,,CHImac,hare,H,Yes,
J,3,,,,,,,,,,,,,,,RYTset,cattle,L,Yes,
J,4,Awatere,26/02/16,"Sean, Graeme, Betka",Colluvial,Grazed,1613719,5333074,1185,100,21,Convex,Face,3,Good,CHIfla,deer,H,Yes,Little cattle sign near this plot
J,4,,,,,,,,,,,,,,,,,,,� C � corner up rooted
K,1,Awatere,28/03/16,"Sean, Lizzie",,Grazed,1614726,5329449,1237,125,27,Convex,Face,3,Good,CHIfla,hare,M,Yes,Little cattle sign dear plot. All pegs found
K,1,,,,,,,,,,,,,,,RYTset,cattle,L,Yes,
K,2,Awatere,28/03/16,"Sean, Lizzie",Colluvial,Grazed,1614804,5329622,1216,45,24,Linear,Face,2.5,Good,MELalp,hare,H,Yes,All pegs found intact
K,2,,,,,,,,,,,,,,,POApra,hare,M,Yes,
K,3,Awatere,28/03/16,"Sean, Lizzie",Colluvial,Grazed,1614884,5329782,1178,85,28,Linear,Face,3,Good,RYTset,hare,M,Yes,
K,3,,,,,,,,,,,,,,,DACglo,deer,M,Yes,
K,3,,,,,,,,,,,,,,,TRIpra,cattle,M,Yes,
K,4,Awatere,28/03/16,"Sean, Lizzie",Colluvial,Grazed,1614955,5329952,1130,30,26,Convex,Face,3,Good,DACglo,cattle,L,Yes,
K,4,,,,,,,,,,,,,,,MELalp,hare,H,Yes,
L,1,Awatere,29/03/16,"Sean, Lizzie",Colluvial,Grazed,1615700,5331367,1135,280,7,Convex,Ridge,3,Good,POApra,cattle,M,Yes,"A, C, pegs crushed. Center peg up rooted"
L,1,,,,,,,,,,,,,,,POApra,deer,M,Yes,
L,1,,,,,,,,,,,,,,,MELalp,hare,H,Yes,
L,2,Awatere,29/03/16,"Sean, Lizzie",Colluvial,Grazed,1615778,5331538,1117,,,Convex,Ridge,3,Good,POApra,cattle,,Yes,A and D pegs crushed and Center peg up rooted
L,2,,,,,,,,,,,,,,,POApra,hare,,Yes,
L,2,,,,,,,,,,,,,,,POApra,deer,,Yes,
L,3,Awatere,29/03/16,"Sean, Lizzie",Colluvial,Grazed,1615849,5331704,1133,10,31,Linear,Face,3,Good,DACglo,cattle,L,Yes,All pegs found
L,3,,,,,,,,,,,,,,,DACglo,deer,L,Yes,
L,3,,,,,,,,,,,,,,,MELalp,hare,H,Yes,
